term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post06,0.020454347517938808,0.013667887733718577,1.4965258653301698,0.1345207402703703,8462,77590,12347,lemvd,cognitive,0.03797181812164113,0.0029368769142364796
post09,-0.005711837838545114,0.014424724212839656,-0.3959755316126547,0.692124167783561,7419,77590,12347,lemvd,cognitive,0.01277583644101041,-0.02419951211810064
post12,0.05792891514426167,0.015019551036475008,3.85690058268594,1.1492651259050807e-4,6541,77590,12347,lemvd,cognitive,0.07717918872832807,0.03867864156019527
post24,-0.014805342875416959,0.00890470279858598,-1.6626431235602797,0.09638793267679172,28427,77590,12347,lemvd,cognitive,-0.003393241856517336,-0.02621744389431658
post36,-0.006327761168972964,0.009472667341840196,-0.6680020463743752,0.5041342732007748,24768,77590,12347,lemvd,cognitive,0.005812274296060673,-0.018467796634006602
post48,-0.0028991972414299607,0.010428220257855296,-0.27801457676788843,0.7810019098364226,21702,77590,12347,lemvd,cognitive,0.010465511587201558,-0.01626390607006148
pre24,-0.018382218800019712,0.019915525447018554,-0.9230094806648255,0.35601211185981296,5335,22615,4225,lesep,cognitive,0.00714371530362384,-0.04390815290366326
pre12,-0.07259973224322859,0.019101580518149867,-3.8007185936392047,1.4465529980094374e-4,6159,22615,4225,lesep,cognitive,-0.04811744550589567,-0.09708201898056151
post03,-0.3606571191886315,0.03250878799333942,-11.094142275083431,1.586884536706921e-28,1826,22615,4225,lesep,cognitive,-0.31898034522453267,-0.4023338931527304
post06,-0.2686796302855368,0.03338289608368657,-8.048421850878126,8.796747625645044e-16,1470,22615,4225,lesep,cognitive,-0.2258784801483376,-0.311480780422736
post09,-0.2761783183827062,0.037168963176874376,-7.4303476550709275,1.1215395958521508e-13,1296,22615,4225,lesep,cognitive,-0.22852006418320137,-0.323836572582211
post12,-0.1756227305753915,0.028042362487664056,-6.26276515228161,3.8501929779831757e-10,2334,22615,4225,lesep,cognitive,-0.13967481824495284,-0.21157064290583014
post24,-0.1090635880487292,0.02071529062132786,-5.264883319398884,1.415594663182506e-7,6361,22615,4225,lesep,cognitive,-0.08251311720070181,-0.1356140588967566
post36,-0.05858348811967523,0.021734825990787594,-2.6953741495103807,0.007036161217303369,5552,22615,4225,lesep,cognitive,-0.030725872656431136,-0.08644110358291933
post48,-0.06860755010154802,0.024071234776848804,-2.850188232451344,0.0043732863402855225,4858,22615,4225,lesep,cognitive,-0.03775482524197406,-0.09946027496112199
pre24,0.0021204532153444415,0.03990579767541334,0.053136469858135166,0.9576250008872057,1320,5809,1213,ledsc,cognitive,0.05328741687072183,-0.04904651044003294
pre12,-0.050862473873924806,0.040934148811453665,-1.2425438258946555,0.21408613628231316,1483,5809,1213,ledsc,cognitive,0.001620142681816275,-0.10334509042966589
post03,-0.23029520041242327,0.07410469629804997,-3.107700482114834,0.0018945960202822734,389,5809,1213,ledsc,cognitive,-0.13516423902850483,-0.3254261617963417
post06,-0.26887841303241233,0.0749956612424964,-3.5852529143386227,3.3951744687592755e-4,337,5809,1213,ledsc,cognitive,-0.17257826732762585,-0.36517855873719884
post09,-0.23297860182004645,0.08100684435308354,-2.876036014988628,0.0040416920691032894,263,5809,1213,ledsc,cognitive,-0.12890172622479357,-0.33705547741529934
post12,-0.17414655811537189,0.06712359732271816,-2.5944163462829115,0.009498971525682864,470,5809,1213,ledsc,cognitive,-0.08800286871474916,-0.2602902475159946
post24,0.0010451077505891455,0.04706243066157915,0.02220683751131348,0.9822837261078055,1484,5809,1213,ledsc,cognitive,0.06138491770316741,-0.059294702201989125
post36,9.454666086828481e-4,0.05391210026506875,0.01753718745948104,0.9860086683766142,1307,5809,1213,ledsc,cognitive,0.07007156844788169,-0.068180635230516
post48,0.01960922391889355,0.06512339661760153,0.3011087402894089,0.7633423533123446,1151,5809,1213,ledsc,cognitive,0.10311618421409384,-0.06389773637630673
pre24,0.07459162112433126,0.025171166901002996,2.963375572443525,0.003046048651463554,5354,22408,3971,lebth,cognitive,0.10685375083123143,0.0423294914174311
pre12,0.19092310464537884,0.02645483538218461,7.216945480369594,5.486260800492631e-13,6220,22408,3971,lebth,cognitive,0.22482994200014042,0.15701626729061727
post03,0.23092637197380636,0.03475187164230532,6.64500532088428,3.101673940432206e-11,1945,22408,3971,lebth,cognitive,0.2754778266868527,0.18637491726076
post06,0.1694224012753347,0.03760748467134404,4.505018156782772,6.67024248134162e-6,1642,22408,3971,lebth,cognitive,0.21763774164495017,0.12120706090571923
post09,0.1422685763065008,0.03882335801114267,3.6645098104514395,2.48384298645057e-4,1509,22408,3971,lebth,cognitive,0.19204451656225952,0.09249263605074208
post12,0.10470188773201947,0.03593485589503187,2.9136582052217133,0.003575738134844271,1676,22408,3971,lebth,cognitive,0.15077242820526413,0.058631347258774814
post24,0.002625299755149634,0.028355297491801074,0.09258586533640632,0.9262334010222556,6248,22408,3971,lebth,cognitive,0.03896791873263506,-0.03371731922233579
post36,-0.059154170861210775,0.029911029871763098,-1.9776708162447483,0.04797808731382032,5616,22408,3971,lebth,cognitive,-0.02081713341462294,-0.09749120830779862
post48,-0.03820628673032377,0.027959031843658597,-1.3665096468277518,0.17179276629815401,4999,22408,3971,lebth,cognitive,-0.002370609228515369,-0.07404196423213218
pre24,0.0035357250094801124,0.02144998449340667,0.1648357839404,0.8690745233109177,7848,25917,4485,leprg,cognitive,0.031027300578912207,-0.023955850559951985
pre12,-0.03159854690716751,0.020570784964648692,-1.5360885333967689,0.1245288754501956,9065,25917,4485,leprg,cognitive,-0.005234103760708635,-0.05796299005362639
post03,0.03029509280306908,0.02997622644755205,1.0106373080706117,0.31219948767309547,1952,25917,4485,leprg,cognitive,0.06872418462236202,-0.008133999016223858
post06,0.04760368904890228,0.028368640427733204,1.6780391422059437,0.09335151490687102,2272,25917,4485,leprg,cognitive,0.08397014302136699,0.011237235076437584
post09,0.04272271510476682,0.02720742221189387,1.5702595700554962,0.11636694358987293,2403,25917,4485,leprg,cognitive,0.07760002158193272,0.00784540862760092
post12,0.02008033750961479,0.028361301438081125,0.7080189022162655,0.47893988646337526,3430,25917,4485,leprg,cognitive,0.05643381125877047,-0.016273136239540888
post24,-0.028736825906910547,0.022154620532907433,-1.2971030518995446,0.1946072782494315,9283,25917,4485,leprg,cognitive,-3.4251647230648316e-4,-0.05713113534151461
post36,-0.044544652010649305,0.023178193508325517,-1.9218345033942805,0.05463753711925651,8297,25917,4485,leprg,cognitive,-0.014838236368195978,-0.07425106765310263
post48,-0.03839844779525867,0.024311541435694316,-1.5794328754030336,0.11424900545600686,7394,25917,4485,leprg,cognitive,-0.007239169598410925,-0.06955772599210641
pre24,0.05982764971267506,0.026761671761650414,2.2355722110906515,0.025393383143955936,3221,16190,3425,lemar,cognitive,0.09413114956132196,0.025524149864028157
pre12,0.13162133047929941,0.02629535074452702,5.005498187039563,5.630276332076779e-7,3884,16190,3425,lemar,cognitive,0.16532591238936617,0.09791674856923266
post03,0.2818725108534664,0.04631463718578082,6.086035171187842,1.1834900881218558e-9,805,16190,3425,lemar,cognitive,0.3412759153171464,0.22246910638978631
post06,0.16665690322083762,0.04350617582157187,3.8306493290592405,1.282877705471042e-4,861,16190,3425,lemar,cognitive,0.22245517207383328,0.11085863436784196
post09,0.12896741282124552,0.044288103381930725,2.912010291094638,0.003596010457725535,905,16190,3425,lemar,cognitive,0.18576640725814228,0.07216841838434876
post12,0.08031809236638823,0.035714320792249746,2.2489043774232385,0.02453196791929144,1744,16190,3425,lemar,cognitive,0.12610518944669677,0.0345309952860797
post24,0.03619242684041954,0.030876808706139944,1.1721556843801209,0.24115180459178842,4135,16190,3425,lemar,cognitive,0.07576897354233669,-0.0033841198614976073
post36,0.011859137541162607,0.03408832831239171,0.34789437113147026,0.727924035587891,3721,16190,3425,lemar,cognitive,0.055552847167323664,-0.03183457208499845
post48,-0.06294862963469242,0.0421429848810535,-1.4936917689233884,0.1352756886073656,3278,16190,3425,lemar,cognitive,-0.008929331865241842,-0.116967927404143
pre24,0.0210779709997092,0.022895848758442874,0.9206022987873148,0.35727279290839553,3963,15116,2818,lertr,cognitive,0.050425074949353596,-0.008269132949935202
pre12,0.0021806416684437033,0.022059098528962866,0.09885452325173637,0.9212550879637517,4428,15116,2818,lertr,cognitive,0.0304547329744096,-0.026093449637522192
post03,0.11727597067829416,0.04572709925597983,2.564692984826886,0.010336280438825878,733,15116,2818,lertr,cognitive,0.17593054012983103,0.0586214012267573
post06,0.0822377519525791,0.048372376336287645,1.7000974147074632,0.08913317543797043,602,15116,2818,lertr,cognitive,0.14429766171783692,0.020177842187321285
post09,0.16597074566335362,0.05036553559785943,3.2953237505213284,9.853463543122198e-4,591,15116,2818,lertr,cognitive,0.23058912829709752,0.10135236302960973
post12,0.0598947174394165,0.03286635301833722,1.8223718769770185,0.06841832652583812,1476,15116,2818,lertr,cognitive,0.10203351606378305,0.017755918815049947
post24,0.08236293130058361,0.023805866775983946,3.4597745201058485,5.421191269433033e-4,4341,15116,2818,lertr,cognitive,0.11287602156413483,0.0518498410370324
post36,0.047642006638032,0.02505909925642205,1.9011859185570084,0.05729666339196378,3757,15116,2818,lertr,cognitive,0.079762183738758,0.015521829537306006
post48,0.08200771479296529,0.02969885612130703,2.761308868530125,0.005763966022565941,3294,15116,2818,lertr,cognitive,0.12007596707912344,0.043939462506807136
pre24,-0.006866459519103233,0.01492755230451099,-0.45998562785328456,0.6455295640773329,8661,33033,5669,leprm,cognitive,0.012265427908628864,-0.02599834694683533
pre12,0.01909249621767194,0.01403010649208229,1.3608233286359261,0.17357881170469633,10042,33033,5669,leprm,cognitive,0.03707398415428689,0.0011110082810569868
post03,0.04780818362789014,0.019236267875153958,2.485314923776892,0.01294859631167034,4133,33033,5669,leprm,cognitive,0.0724643947043074,0.023151972551472874
post06,0.01306118777094484,0.022824306109977863,0.572249062381573,0.5671571475674548,2757,33033,5669,leprm,cognitive,0.04231872585735807,-0.016196350315468386
post09,0.005553930082491072,0.02674649238097539,0.20765078289075192,0.8355029295577724,1956,33033,5669,leprm,cognitive,0.03984252544785902,-0.028734665282876878
post12,0.01570607011433312,0.029664037028536976,0.5294650252500624,0.5964864584042193,1670,33033,5669,leprm,cognitive,0.05373711609741144,-0.022324975868745208
post24,-0.021029449271250458,0.01423181418496252,-1.4776365822335138,0.1395146110419168,10191,33033,5669,leprm,cognitive,-0.0027894630652040148,-0.0392694354772969
post36,-0.02373711373658438,0.01522781055324192,-1.5588001737735615,0.11905326294986204,9025,33033,5669,leprm,cognitive,-0.0042204605814776565,-0.04325376689169111
post48,-0.03587832837309589,0.017138274588924154,-2.0934621036053858,0.03631552915039141,7990,33033,5669,leprm,cognitive,-0.013912929467177086,-0.05784372727901469
pre24,-0.023441420961685576,0.010477149208297615,-2.2373854276238245,0.02526459476040406,19399,63872,10023,lejob,cognitive,-0.010013956722387893,-0.03686888520098326
pre12,-0.06417339009683029,0.010044981463053014,-6.388602142559435,1.6855688221161294e-10,22235,63872,10023,lejob,cognitive,-0.051299845891325815,-0.07704693430233477
post03,0.05747182943436757,0.014561890379754925,3.946728613907806,7.931100187961598e-5,7925,63872,10023,lejob,cognitive,0.07613519874431779,0.038808460124417354
post06,0.02608429069019206,0.01544187819416054,1.6891915842242575,0.09118760201285289,6582,63872,10023,lejob,cognitive,0.04587584052320273,0.00629274085718139
post09,0.014333955719602835,0.016366364327448358,0.8758179539950158,0.3811323016160417,5459,63872,10023,lejob,cognitive,0.03531083442932844,-0.006642922990122771
