term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
pre12,0.06677256345911121,0.09666639807828335,0.6907525757299531,0.4898949011736117,295,922,227,ledsc,losat,0.19093453145838962,-0.05738940454016721
post03,-0.12433131531799374,0.16516433958030147,-0.7527733627847973,0.45177826841390323,69,922,227,ledsc,losat,0.08941208949669502,-0.33807472013268247
post06,-0.24940728925186206,0.17845626661840397,-1.3975821302211475,0.16257476697263712,65,922,227,ledsc,losat,-0.018320732676730234,-0.4804938458269939
post09,-0.11736064225087425,0.18132144113021353,-0.6472518722515188,0.5176300571264585,47,922,227,ledsc,losat,0.11839858115727228,-0.35311986565902076
post12,-0.3433663923721927,0.16871962476841176,-2.035130132866908,0.04212337256308812,82,922,227,ledsc,losat,-0.1253653292717313,-0.5613674554726541
post24,0.06614854818453093,0.11473036365853652,0.5765565982289044,0.5643797499763259,276,922,227,ledsc,losat,0.21353548915398274,-0.08123839278492086
post36,-0.18466521295441793,0.1300464783172231,-1.4199939540382096,0.15594747475224036,203,922,227,ledsc,losat,-0.017457094932021272,-0.3518733309768146
post48,-0.014083149627544278,0.1379440227391376,-0.10209322120594207,0.9187048802453148,156,922,227,ledsc,losat,0.16345594393174906,-0.19162224318683763
pre24,0.02655553256749055,0.05470044564320856,0.4854719601500651,0.6273672319715865,1302,4149,826,lebth,losat,0.0966925873655297,-0.043581522230548606
pre12,0.14960041550917297,0.05863831791222666,2.551239886060576,0.010769618932015775,1385,4149,826,lebth,losat,0.22478432983174523,0.0744165011866007
post03,0.17901822283787056,0.07732937201331357,2.3150093965207623,0.020660980715675268,417,4149,826,lebth,losat,0.2782774258580595,0.07975901981768165
post06,0.08140338260556364,0.0859523577805909,0.947075620814971,0.3436554011243953,344,4149,826,lebth,losat,0.19176832456211956,-0.028961559350992302
post09,0.08593712224913254,0.09037793896466645,0.9508639302200722,0.34172883980729774,306,4149,826,lebth,losat,0.202012527828822,-0.030138283330556945
post12,0.03595648780762837,0.08519766244610856,0.4220360837995115,0.6730205463161062,318,4149,826,lebth,losat,0.1453697003114754,-0.07345672469621864
post24,-0.08292748936935915,0.06379686592461406,-1.2998677625849349,0.1937185063359484,1406,4149,826,lebth,losat,-0.0011300566175915794,-0.16472492212112672
post36,-0.09344039113969659,0.06335041845694911,-1.474976699691347,0.14029468362923686,1270,4149,826,lebth,losat,-0.012211277917081917,-0.17466950436231127
post48,-0.05636958693460359,0.055176544900135974,-1.0216222678789855,0.30701927779165233,1093,4149,826,lebth,losat,0.014384803201167487,-0.12712397707037465
pre24,-0.009139442548629749,0.04261832253687763,-0.21444866913101493,0.8302060538814381,2087,4934,986,leprg,losat,0.04549543728365479,-0.06377432238091428
pre12,0.025476579951414915,0.044620006148504705,0.5709676477099428,0.5680475769280695,2236,4934,986,leprg,losat,0.0826763251810338,-0.03172316527820396
post03,-0.041275750946146036,0.06611698729690496,-0.6242836014410811,0.5324702149326194,431,4934,986,leprg,losat,0.043586953231369505,-0.12613845512366156
post06,-0.034422926056060336,0.06451613034536366,-0.5335553430094103,0.5936732455655208,504,4934,986,leprg,losat,0.04836655273147104,-0.11721240484359172
post09,0.022954345885620255,0.06098260999057086,0.37640805943152417,0.7066297400631141,503,4934,986,leprg,losat,0.10120968599213986,-0.05530099422089935
post12,-0.002971716453541836,0.062268552238196204,-0.04772419378202523,0.9619379837510715,782,4934,986,leprg,losat,0.07689620004252752,-0.0828396329496112
post24,-0.07132253969853485,0.04768439207558918,-1.4957208552742904,0.13479036950764745,2237,4934,986,leprg,losat,-0.0101944728752673,-0.1324506065218024
post36,-0.0856209474527402,0.047769047640193796,-1.7923938550681318,0.07313114134803998,2045,4934,986,leprg,losat,-0.02438265813211756,-0.14685923677336282
post48,0.00815407474693897,0.046579008912177894,0.17505900055351156,0.8610404565978171,1802,4934,986,leprg,losat,0.0678693798424602,-0.051561230348582274
pre24,1.0819013450620888e-4,0.06568880513933906,0.001647010236778033,0.9986860289966586,554,2155,464,lemar,losat,0.08439246657267123,-0.08417608630365882
pre12,-0.019691515963866105,0.06286913972261655,-0.31321433776168367,0.7541481362409541,575,2155,464,lemar,losat,0.060971362329124534,-0.10035439425685674
post03,-0.04113338631865381,0.10489652424098313,-0.3921329769150061,0.6949987389860566,115,2155,464,lemar,losat,0.09408052549147644,-0.17634729812878408
post06,0.040038662698565645,0.11748099311953343,0.34080970576940467,0.7332800647212433,101,2155,464,lemar,losat,0.19159792685999902,-0.11152060146286771
post09,0.042441530970839594,0.1226113812215851,0.3461467487601223,0.7292662225111007,94,2155,464,lemar,losat,0.2006986101866945,-0.11581554824501529
post12,-2.506080144454794e-5,0.08427290235593342,-2.9737674559613027e-4,0.9997627552136383,218,2155,464,lemar,losat,0.10830480788497812,-0.10835492948786721
post24,-0.10048798385389922,0.06585346220513422,-1.5259331930169155,0.12717324527843968,571,2155,464,lemar,losat,-0.015995452502163665,-0.18498051520563477
post36,-0.050138429112790685,0.07124717215096672,-0.7037251809314143,0.4816799625445981,499,2155,464,lemar,losat,0.041289778067243633,-0.141566636292825
post48,-0.1384653513084459,0.08524497924362454,-1.6243226584960628,0.10445320487709059,443,2155,464,lemar,losat,-0.029055991362710698,-0.2478747112541811
pre24,0.004782542228581341,0.03832995118811865,0.12477297988482211,0.9007097898368076,1200,3852,759,lertr,losat,0.05393143025525647,-0.04436634579809379
pre12,0.018231694497305866,0.04225484481350364,0.4314699196689382,0.6661508660281126,1203,3852,759,lertr,losat,0.07241323437803403,-0.03594984538342229
post03,0.03790786284486318,0.08291789355951924,0.4571734907574872,0.6475721318549594,184,3852,759,lertr,losat,0.14455642646372524,-0.06874070077399887
post06,0.20993147056022743,0.07846030522315824,2.67563922881942,0.0074902457810186035,162,3852,759,lertr,losat,0.31089669752420845,0.1089662435962464
post09,0.17412308828260978,0.09378339546873977,1.8566515683541136,0.06343703549606616,147,3852,759,lertr,losat,0.29485767053894557,0.053388506026273985
post12,0.049652507652861146,0.06413524562230431,0.7741844156217512,0.43886925587001435,363,3852,759,lertr,losat,0.1319954005751237,-0.03269038526940143
post24,0.09718063819044102,0.041026167519567336,2.368747657067674,0.01789749115046228,1132,3852,759,lertr,losat,0.14978851494136258,0.04457276143951948
post36,0.005197974383657563,0.0420834576453317,0.12351585811852064,0.9017050616233454,1029,3852,759,lertr,losat,0.05916477497983859,-0.04876882621252346
post48,0.06676112051591088,0.04953125997614178,1.347858313074781,0.17778321874844985,881,3852,759,lertr,losat,0.13028567128128726,0.0032365697505345042
pre24,-0.0055251739022285145,0.027838514198934322,-0.19847229858409693,0.8426810536029148,2407,7339,1421,leprm,losat,0.030161115668546158,-0.04121146347300319
pre12,-0.006477544950004251,0.027602691126153437,-0.23467077613554874,0.8144708182672301,2512,7339,1421,leprm,losat,0.02890603583526287,-0.04186112573527137
post03,0.028815682566725332,0.040546029075223866,0.7106906206095901,0.4772985568633533,841,7339,1421,leprm,losat,0.08081840629732406,-0.023187041163873396
post06,0.0645236550749806,0.04704725445338693,1.3714648351883911,0.1702720266362983,603,7339,1421,leprm,losat,0.12488337378481781,0.004163936365143388
post09,-0.05653800657262065,0.05118839127894385,-1.1045083691832556,0.2694088853468891,482,7339,1421,leprm,losat,0.00915277704095517,-0.12222879018619646
post12,0.011919856685916162,0.05879661784578073,0.2027303120934793,0.8393514493014165,373,7339,1421,leprm,losat,0.08740480450503425,-0.06356509113320193
post24,-0.016501336335704504,0.026705689090351144,-0.6178959202242227,0.5366631213187337,2544,7339,1421,leprm,losat,0.01773227421960491,-0.05073494689101392
post36,0.008090092613910917,0.0273012043494928,0.29632731619992486,0.7669885116975321,2425,7339,1421,leprm,losat,0.043087531419122964,-0.026907346191301133
post48,-0.011592267348389541,0.029670252531140483,-0.39070335974467524,0.6960278556480788,2266,7339,1421,leprm,losat,0.02644278432954361,-0.0496273190263227
pre24,-0.005256467157941659,0.018967541943402604,-0.2771295918905292,0.781684473837372,5654,14788,2819,lejob,losat,0.019054256803552945,-0.029567191119436266
pre12,-0.08615146529280808,0.01954461444948165,-4.407938847578184,1.0509431150890223e-5,5901,14788,2819,lejob,losat,-0.061101229290469204,-0.11120170129514695
post03,0.0918374515587693,0.02888469352454887,3.1794504407920194,0.0014785877830663578,1866,14788,2819,lejob,losat,0.12886779221878825,0.05480711089875033
post06,0.07100432121110785,0.03168290325888242,2.2410926369634865,0.025034853244937986,1437,14788,2819,lejob,losat,0.11162628271401613,0.030382359708199566
post09,0.02334312397792805,0.03240925351627592,0.7202610811818033,0.4713756464035831,1327,14788,2819,lejob,losat,0.06489795577587221,-0.018211707820016104
post12,0.016980038249865322,0.035000460394240304,0.48513756843780165,0.6275859508533834,1039,14788,2819,lejob,losat,0.06186349772083266,-0.027903421221102013
post24,0.0038231703514725462,0.01954582135850897,0.19560039362624115,0.8449256395759871,6069,14788,2819,lejob,losat,0.02887487557661974,-0.021228534873674647
post36,-0.002863934989541949,0.019511262218414933,-0.1467836861337929,0.8833047626722441,5784,14788,2819,lejob,losat,0.022143610277441137,-0.027871480256525038
post48,0.012444621572309647,0.019921222220695988,0.6246916697400743,0.5321830793850786,5573,14788,2819,lejob,losat,0.03797772220457725,-0.013088479059957952
pre24,-0.08422089535589361,0.042547369635803155,-1.9794618580844685,0.04783334822363882,1170,3950,776,lefrd,losat,-0.029663416786059153,-0.13877837392572806
pre12,-0.07279440764607813,0.04568267828076985,-1.5934794190191115,0.11113269120734233,1184,3950,776,lefrd,losat,-0.01421698945292612,-0.13137182583923013
post03,-0.11961673217170196,0.06920455899805703,-1.728451620868797,0.08398543375716751,349,3950,776,lefrd,losat,-0.03075883962799135,-0.20847462471541256
post06,-0.18891610437603676,0.07921131454730772,-2.3849636312146996,0.017127704270101466,263,3950,776,lefrd,losat,-0.08714610956000268,-0.29068609919207083
post09,-0.08429305207397027,0.08444209395825282,-0.9982349811889288,0.31822657376081487,211,3950,776,lefrd,losat,0.024265357274422292,-0.1928514614223628
post12,-0.046251252433586604,0.07534931598679497,-0.613824449868824,0.5393666859680317,252,3950,776,lefrd,losat,0.05056760721659233,-0.14307011208376552
post24,-0.10427035911549232,0.04660402997798117,-2.2373678663574057,0.02531786218818936,1139,3950,776,lefrd,losat,-0.04451020115812949,-0.16403051707285515
post36,-0.019983392557631062,0.04639173833878821,-0.4307532606710474,0.6666712906808067,1028,3950,776,lefrd,losat,0.039508279465063745,-0.07947506458032587
post48,-0.03922064637614602,0.051127920321906814,-0.7671081892087273,0.4430630403444511,912,3950,776,lefrd,losat,0.026349967896663447,-0.1047912606489555
pre24,-0.02335396252568038,0.03805618072555049,-0.6136706858237299,0.5394607905857072,1334,5016,962,lefni,losat,0.025441177072410094,-0.07214910212377085
pre12,0.026666488838818496,0.037804276587203825,0.7053828626321261,0.48060476052289913,1351,5016,962,lefni,losat,0.07513833758476415,-0.021805359907127154
post03,0.23063337298912798,0.05681772678004647,4.059179873245526,4.999502659198453e-5,393,5016,962,lefni,losat,0.30357113771605004,0.1576956082622059
post06,0.1470938721716551,0.06412803785795776,2.2937528900769566,0.02184584776288687,292,5016,962,lefni,losat,0.2294642554419007,0.06472348890140951
post09,0.20475388069893227,0.0695453508329384,2.944177838584657,0.0032530006404049554,250,5016,962,lefni,losat,0.2941169253963242,0.11539083600154033
post12,0.06210339775380235,0.07249303116941036,0.8566809354222163,0.3916621667156579,254,5016,962,lefni,losat,0.15525017813984882,-0.03104338263224412
post24,0.11349283186249537,0.0405004586531892,2.8022604097980603,0.0050940572781720634,1317,5016,962,lefni,losat,0.16542232541555865,0.061563338309432086
post36,0.11088978134088853,0.04047650700999756,2.7396084675364683,0.006172992083163053,1173,5016,962,lefni,losat,0.1627917669757857,0.058987795705991365
post48,0.10920170974178822,0.04549934120033004,2.40007232766254,0.016428060056877327,1059,5016,962,lefni,losat,0.16754789232240574,0.050855527161170686
pre24,-0.09902990506086473,0.03649108586429774,-2.7138108586062635,0.006678177475786331,1344,4261,817,lefnw,losat,-0.05224168246143359,-0.14581812766029587
pre12,-0.0983186810507902,0.037211331964886296,-2.642170431941716,0.008267776247892464,1365,4261,817,lefnw,losat,-0.05060733318435124,-0.14603002891722916
