term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post06,-0.06315696637588383,0.048594695541208995,-1.2996679096862707,0.19375808705354655,492,6923,1115,lejlf,losat,-7.964558191668192e-4,-0.12551747693260085
post09,-0.012974622155139925,0.060817930192335994,-0.21333547712176054,0.8310715855146233,323,6923,1115,lejlf,losat,0.06512692600625969,-0.09107617031653953
post12,-0.03496617426838141,0.05222870595688533,-0.669481918568802,0.5032104373864851,461,6923,1115,lejlf,losat,0.03206386846488111,-0.10199621700164394
post24,-0.03092484869137309,0.030594193819608834,-1.010807765477132,0.3121437718043702,2042,6923,1115,lejlf,losat,0.00829588262979683,-0.07014558001254301
post36,-0.05633952272700341,0.032203534656595846,-1.7494825747478653,0.08025194568487197,1788,6923,1115,lejlf,losat,-0.015053770405451097,-0.09762527504855573
post48,-0.00917043073102132,0.03840351236202887,-0.23879145856691225,0.811274361767645,1567,6923,1115,lejlf,losat,0.04006642066708979,-0.05840728212913243
pre24,-0.011838542754763854,0.08736159703117558,-0.13551197731125714,0.8922344491935584,267,997,208,lejls,losat,0.10039859610498902,-0.12407568161451674
pre12,-0.07524878456286817,0.09577356592527488,-0.7856947147773458,0.4322330390408442,277,997,208,lejls,losat,0.04778446744430766,-0.198282036570044
post03,-0.030603654789045955,0.15840918457153125,-0.19319368931683736,0.8468466296292732,81,997,208,lejls,losat,0.17409642928745184,-0.23530373886554373
post06,-0.12246942261446796,0.13933284160976972,-0.8789702499391261,0.3796291952933215,66,997,208,lejls,losat,0.05792648123297105,-0.30286532646190695
post09,0.21315341711265745,0.15709567805473487,1.3568382004652673,0.17513974481692468,52,997,208,lejls,losat,0.41712215880533793,0.009184675419976973
post12,-0.10091542793915194,0.15623636609655508,-0.645915099412806,0.5184829750415396,61,997,208,lejls,losat,0.10153895082301016,-0.303369806701314
post24,0.13036419786180642,0.10301450128307665,1.2654936561171588,0.2059900810805662,272,997,208,lejls,losat,0.262705205364153,-0.0019768096405401725
