term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
pre12,0.056204784643481644,0.014374891148720285,3.909927669155619,9.255684042383148e-5,26130,9065,4485,leprg,cognitive,0.0746282916257512,0.03778127766121209
post03,0.12647520237665613,0.026842843406674498,4.711691696014885,2.4693243156503748e-6,26130,1952,4485,leprg,cognitive,0.1608873421358364,0.09206306261747588
post06,0.13546799919006777,0.024586965737374882,5.509748565035073,3.6273435697415e-8,26130,2272,4485,leprg,cognitive,0.1669866318890355,0.10394936649110002
post09,0.15192524397740306,0.023423895752055647,6.485908475069538,8.977453661439916e-11,26130,2403,4485,leprg,cognitive,0.18195243231854955,0.12189805563625658
post12,0.14882550090409885,0.020626020568576917,7.215424827551551,5.523097212580637e-13,26130,3430,4485,leprg,cognitive,0.17526390320825058,0.12238709859994712
post24,-0.001652986118473335,0.014705391408497547,-0.11240680867006049,0.9105017204627629,26130,9283,4485,leprg,cognitive,0.017194072597320923,-0.02050004483426759
post36,-0.050875453822562255,0.015801500091802596,-3.2196597492003374,0.001284996224678175,26130,8297,4485,leprg,cognitive,-0.03062340400976112,-0.0711275036353634
post48,-0.057927319211748554,0.01951172054650651,-2.9688473178814667,0.002991903081587766,26130,7394,4485,leprg,cognitive,-0.03291980867541043,-0.08293482974808668
pre24,0.07733721404004165,0.02654253298425787,2.9137088794769372,0.003576450764055666,16403,3221,3425,lemar,cognitive,0.11135981861861466,0.043314609461468645
pre12,0.1684846753361441,0.025930025185783162,6.497667245943147,8.39243613148776e-11,16403,3884,3425,lemar,cognitive,0.2017209940411237,0.13524835663116452
post03,0.32823387293270895,0.04638708034718638,7.07597612257608,1.5440144714489594e-12,16403,805,3425,lemar,cognitive,0.38773019338751163,0.26873755247790626
post06,0.21232861039629433,0.04315511703075119,4.920125931879517,8.732708042449691e-7,16403,861,3425,lemar,cognitive,0.26767663345260684,0.1569805873399818
post09,0.1876066024113654,0.04445202903338581,4.22042832444078,2.4515010396608133e-5,16403,905,3425,lemar,cognitive,0.24461582965242556,0.13059737517030523
post12,0.12760624760039924,0.03530261651133438,3.614639939207609,3.0166574141905013e-4,16403,1744,3425,lemar,cognitive,0.1728655243705217,0.08234697083027678
post24,0.08060526618765135,0.03088850886878818,2.6095551109331896,0.009074236443999358,16403,4135,3425,lemar,cognitive,0.12019680964774629,0.041013722727556406
post36,0.043010339545581464,0.03404581537123197,1.2633076657616,0.20649658794683498,16403,3721,3425,lemar,cognitive,0.08664955696874081,-6.288778775778853e-4
post48,-0.04728588125320663,0.04237004481871193,-1.1160215065980699,0.2644292773735694,16403,3278,3425,lemar,cognitive,0.007024464205877275,-0.10159622671229054
pre24,0.019026541568895102,0.021985652875871148,0.8654071669518799,0.38682889200288184,15329,3963,2818,lertr,cognitive,0.047206988040051356,-0.009153904902261156
pre12,-0.008909930694374946,0.021257261613012876,-0.41914762383695886,0.6751141206277835,15329,4428,2818,lertr,cognitive,0.01833641189627978,-0.03615627328502967
post03,0.11553150168719531,0.04542742633514199,2.543210368882858,0.010993647085691385,15329,733,2818,lertr,cognitive,0.1738016779357076,0.057261325438682995
post06,0.07745232417412073,0.047116524777604,1.6438462840734873,0.10022846530624703,15329,602,2818,lertr,cognitive,0.1379010243955547,0.017003623952686765
post09,0.15649810837669265,0.048546029529910335,3.2237056231400043,0.0012680822653729138,15329,591,2818,lertr,cognitive,0.2187820863841875,0.09421413036919779
post12,0.024929121189341038,0.032183673234124265,0.7745890597381767,0.43859447108407545,15329,1476,2818,lertr,cognitive,0.0661926384602874,-0.01633439608160533
post24,0.07998638695064683,0.023208474468312392,3.4464301847954704,5.695683035744423e-4,15329,4341,2818,lertr,cognitive,0.10973377161825132,0.050239002283042344
post36,0.05546562003206489,0.024439600460027817,2.2694978227152967,0.023251899073661743,15329,3757,2818,lertr,cognitive,0.08679173782322613,0.02413950224090366
post48,0.07869239991776308,0.02878160321453286,2.734121491815594,0.006261877272112388,15329,3294,2818,lertr,cognitive,0.11558490944390834,0.04179989039161782
pre24,-0.007460327380494483,0.014923324937881738,-0.4999105367971318,0.617141381230766,33246,8661,5669,leprm,cognitive,0.011666142045624439,-0.026586796806613404
pre12,0.013627167216473609,0.013903964796144122,0.9800921835081692,0.3270477490223338,33246,10042,5669,leprm,cognitive,0.0314469874291054,-0.004192652996158182
post03,0.053903598413771875,0.019122669002833135,2.81883237145326,0.0048227157825718805,33246,4133,5669,leprm,cognitive,0.07841420339901992,0.02939299342852383
